호선,역명,구분,할인,시간대,이용량
2,을지로입구,하차,우대권,10시-11시,88671
2,구로디지털단지,승차,일반,10시-11시,598673
2,구로디지털단지,승차,우대권,10시-11시,96617
2,구로디지털단지,하차,일반,10시-11시,532107
2,구로디지털단지,하차,우대권,10시-11시,112204
3,압구정,승차,일반,10시-11시,151619
3,압구정,승차,우대권,10시-11시,74409
3,압구정,하차,일반,10시-11시,671869
3,압구정,하차,우대권,10시-11시,91573
7,남구로,승차,일반,10시-11시,116590
7,남구로,승차,우대권,10시-11시,38949
7,남구로,하차,일반,10시-11시,160469
7,남구로,하차,우대권,10시-11시,36746
7,철산,승차,일반,10시-11시,215494
7,철산,승차,우대권,10시-11시,73949
7,철산,하차,일반,10시-11시,148792
7,철산,하차,우대권,10시-11시,59683
2,을지로입구,승차,일반,11시-12시,219161
2,을지로입구,승차,우대권,11시-12시,49658
2,을지로입구,하차,일반,11시-12시,498575
2,을지로입구,하차,우대권,11시-12시,96194
2,구로디지털단지,승차,일반,11시-12시,504178
2,구로디지털단지,승차,우대권,11시-12시,97144
2,구로디지털단지,하차,일반,11시-12시,397410
2,구로디지털단지,하차,우대권,11시-12시,107264
3,압구정,승차,일반,11시-12시,207065
3,압구정,승차,우대권,11시-12시,83255
3,압구정,하차,일반,11시-12시,472894
3,압구정,하차,우대권,11시-12시,102204
7,남구로,승차,일반,11시-12시,101607
7,남구로,승차,우대권,11시-12시,38113
7,남구로,하차,일반,11시-12시,120442
7,남구로,하차,우대권,11시-12시,35750
7,철산,승차,일반,11시-12시,196151
7,철산,승차,우대권,11시-12시,69780
7,철산,하차,일반,11시-12시,136819
7,철산,하차,우대권,11시-12시,62837
2,을지로입구,승차,일반,12시-13시,262928
2,을지로입구,승차,우대권,12시-13시,56570
2,을지로입구,하차,일반,12시-13시,403997
2,을지로입구,하차,우대권,12시-13시,89599
2,구로디지털단지,승차,일반,12시-13시,554757
2,구로디지털단지,승차,우대권,12시-13시,99561
2,구로디지털단지,하차,일반,12시-13시,402862
2,구로디지털단지,하차,우대권,12시-13시,100098
3,압구정,승차,일반,12시-13시,253703
3,압구정,승차,우대권,12시-13시,84663
3,압구정,하차,일반,12시-13시,400197
3,압구정,하차,우대권,12시-13시,77080
7,남구로,승차,일반,12시-13시,112543
7,남구로,승차,우대권,12시-13시,38971
7,남구로,하차,일반,12시-13시,113280
7,남구로,하차,우대권,12시-13시,33734
7,철산,승차,일반,12시-13시,209743
7,철산,승차,우대권,12시-13시,67004
7,철산,하차,일반,12시-13시,158613
7,철산,하차,우대권,12시-13시,60464
2,을지로입구,승차,일반,13시-14시,350657
2,을지로입구,승차,우대권,13시-14시,78136
2,을지로입구,하차,일반,13시-14시,408421
2,을지로입구,하차,우대권,13시-14시,81994
2,구로디지털단지,승차,일반,13시-14시,581394
2,구로디지털단지,승차,우대권,13시-14시,107796
2,구로디지털단지,하차,일반,13시-14시,473312
2,구로디지털단지,하차,우대권,13시-14시,119302
3,압구정,승차,일반,13시-14시,290786
3,압구정,승차,우대권,13시-14시,88831
3,압구정,하차,일반,13시-14시,457168
3,압구정,하차,우대권,13시-14시,80156
7,남구로,승차,일반,13시-14시,114821
7,남구로,승차,우대권,13시-14시,36641
7,남구로,하차,일반,13시-14시,118070
7,남구로,하차,우대권,13시-14시,36243
7,철산,승차,일반,13시-14시,204985
7,철산,승차,우대권,13시-14시,67287
7,철산,하차,일반,13시-14시,185985
7,철산,하차,우대권,13시-14시,64166
2,을지로입구,승차,일반,14시-15시,399766
2,을지로입구,승차,우대권,14시-15시,104043
2,을지로입구,하차,일반,14시-15시,356341
2,을지로입구,하차,우대권,14시-15시,73789
2,구로디지털단지,승차,일반,14시-15시,525703
2,구로디지털단지,승차,우대권,14시-15시,106491
2,구로디지털단지,하차,일반,14시-15시,485217
2,구로디지털단지,하차,우대권,14시-15시,124480
3,압구정,승차,일반,14시-15시,347421
3,압구정,승차,우대권,14시-15시,113478
3,압구정,하차,일반,14시-15시,413750
3,압구정,하차,우대권,14시-15시,81170
7,남구로,승차,일반,14시-15시,114316
7,남구로,승차,우대권,14시-15시,34587
7,남구로,하차,일반,14시-15시,109915
7,남구로,하차,우대권,14시-15시,37918
7,철산,승차,일반,14시-15시,185229
7,철산,승차,우대권,14시-15시,65335
7,철산,하차,일반,14시-15시,192878
7,철산,하차,우대권,14시-15시,67699
2,을지로입구,승차,일반,15시-16시,495188
2,을지로입구,승차,우대권,15시-16시,132463
2,을지로입구,하차,일반,15시-16시,331103
2,을지로입구,하차,우대권,15시-16시,60841
2,구로디지털단지,승차,일반,15시-16시,540695
2,구로디지털단지,승차,우대권,15시-16시,119867
2,구로디지털단지,하차,일반,15시-16시,569773
2,구로디지털단지,하차,우대권,15시-16시,135618
3,압구정,승차,일반,15시-16시,429861
3,압구정,승차,우대권,15시-16시,127825
3,압구정,하차,일반,15시-16시,360114
3,압구정,하차,우대권,15시-16시,74385
7,남구로,승차,일반,15시-16시,125771
7,남구로,승차,우대권,15시-16시,39014
7,남구로,하차,일반,15시-16시,120477
7,남구로,하차,우대권,15시-16시,46517
7,철산,승차,일반,15시-16시,194018
7,철산,승차,우대권,15시-16시,67914
7,철산,하차,일반,15시-16시,215490
7,철산,하차,우대권,15시-16시,78505
2,을지로입구,승차,일반,16시-17시,625430
2,을지로입구,승차,우대권,16시-17시,110397
2,을지로입구,하차,일반,16시-17시,325615
2,을지로입구,하차,우대권,16시-17시,47292
2,구로디지털단지,승차,일반,16시-17시,673765
2,구로디지털단지,승차,우대권,16시-17시,125299
2,구로디지털단지,하차,일반,16시-17시,650526
2,구로디지털단지,하차,우대권,16시-17시,132125
3,압구정,승차,일반,16시-17시,546103
3,압구정,승차,우대권,16시-17시,112465
3,압구정,하차,일반,16시-17시,347508
3,압구정,하차,우대권,16시-17시,68149
7,남구로,승차,일반,16시-17시,160159
7,남구로,승차,우대권,16시-17시,36606
7,남구로,하차,일반,16시-17시,161847
7,남구로,하차,우대권,16시-17시,46102
7,철산,승차,일반,16시-17시,234490
7,철산,승차,우대권,16시-17시,62496
7,철산,하차,일반,16시-17시,272807
7,철산,하차,우대권,16시-17시,79754
2,을지로입구,승차,일반,17시-18시,1430486
2,을지로입구,승차,우대권,17시-18시,100417
2,을지로입구,하차,일반,17시-18시,372766
2,을지로입구,하차,우대권,17시-18시,37719
2,구로디지털단지,승차,일반,17시-18시,1233088
2,구로디지털단지,승차,우대권,17시-18시,119597
2,구로디지털단지,하차,일반,17시-18시,1030178
2,구로디지털단지,하차,우대권,17시-18시,125857
3,압구정,승차,일반,17시-18시,788784
3,압구정,승차,우대권,17시-18시,104426
3,압구정,하차,일반,17시-18시,420583
3,압구정,하차,우대권,17시-18시,70177
7,남구로,승차,일반,17시-18시,367462
7,남구로,승차,우대권,17시-18시,37049
7,남구로,하차,일반,17시-18시,313020
7,남구로,하차,우대권,17시-18시,48257
7,철산,승차,일반,17시-18시,310389
7,철산,승차,우대권,17시-18시,51016
7,철산,하차,일반,17시-18시,465493
7,철산,하차,우대권,17시-18시,77745
2,을지로입구,승차,일반,18시-19시,2633621
2,을지로입구,승차,우대권,18시-19시,83174
2,을지로입구,하차,일반,18시-19시,428055
2,을지로입구,하차,우대권,18시-19시,21988
2,구로디지털단지,승차,일반,18시-19시,2375165
2,구로디지털단지,승차,우대권,18시-19시,104263
2,구로디지털단지,하차,일반,18시-19시,1679423
2,구로디지털단지,하차,우대권,18시-19시,108134
3,압구정,승차,일반,18시-19시,1388743
3,압구정,승차,우대권,18시-19시,78491
3,압구정,하차,일반,18시-19시,534476
3,압구정,하차,우대권,18시-19시,55394
7,남구로,승차,일반,18시-19시,831655
7,남구로,승차,우대권,18시-19시,34257
7,남구로,하차,일반,18시-19시,318477
7,남구로,하차,우대권,18시-19시,40922
7,철산,승차,일반,18시-19시,342760
7,철산,승차,우대권,18시-19시,39302
7,철산,하차,일반,18시-19시,926668
7,철산,하차,우대권,18시-19시,71028
2,을지로입구,승차,일반,19시-20시,1134689
2,을지로입구,승차,우대권,19시-20시,50979
2,을지로입구,하차,일반,19시-20시,242295
2,을지로입구,하차,우대권,19시-20시,9233
2,구로디지털단지,승차,일반,19시-20시,1207632
2,구로디지털단지,승차,우대권,19시-20시,74597
2,구로디지털단지,하차,일반,19시-20시,1422253
2,구로디지털단지,하차,우대권,19시-20시,73864
3,압구정,승차,일반,19시-20시,1018999
3,압구정,승차,우대권,19시-20시,57463
3,압구정,하차,일반,19시-20시,328832
3,압구정,하차,우대권,19시-20시,32215
7,남구로,승차,일반,19시-20시,380564
7,남구로,승차,우대권,19시-20시,21763
7,남구로,하차,일반,19시-20시,221987
7,남구로,하차,우대권,19시-20시,25166
7,철산,승차,일반,19시-20시,206969
7,철산,승차,우대권,19시-20시,25691
7,철산,하차,일반,19시-20시,814060
7,철산,하차,우대권,19시-20시,50703
2,을지로입구,승차,일반,20시-21시,1031545
2,을지로입구,승차,우대권,20시-21시,39416
2,을지로입구,하차,일반,20시-21시,131647
2,을지로입구,하차,우대권,20시-21시,6522
2,구로디지털단지,승차,일반,20시-21시,684876
2,구로디지털단지,승차,우대권,20시-21시,51352
2,구로디지털단지,하차,일반,20시-21시,869500
2,구로디지털단지,하차,우대권,20시-21시,48478
3,압구정,승차,일반,20시-21시,768444
3,압구정,승차,우대권,20시-21시,46395
3,압구정,하차,일반,20시-21시,148042
3,압구정,하차,우대권,20시-21시,20526
7,남구로,승차,일반,20시-21시,199786
7,남구로,승차,우대권,20시-21시,12824
7,남구로,하차,일반,20시-21시,150109
7,남구로,하차,우대권,20시-21시,18514
7,철산,승차,일반,20시-21시,183913
7,철산,승차,우대권,20시-21시,20161
7,철산,하차,일반,20시-21시,404200
7,철산,하차,우대권,20시-21시,30890
2,을지로입구,승차,일반,21시-22시,685101
2,을지로입구,승차,우대권,21시-22시,26769
2,을지로입구,하차,일반,21시-22시,114396
2,을지로입구,하차,우대권,21시-22시,4768
2,구로디지털단지,승차,일반,21시-22시,574540
2,구로디지털단지,승차,우대권,21시-22시,32782
2,구로디지털단지,하차,일반,21시-22시,886119
2,구로디지털단지,하차,우대권,21시-22시,34741
3,압구정,승차,일반,21시-22시,536224
3,압구정,승차,우대권,21시-22시,29754
3,압구정,하차,일반,21시-22시,114346
3,압구정,하차,우대권,21시-22시,14726
7,남구로,승차,일반,21시-22시,144606
7,남구로,승차,우대권,21시-22시,8982
7,남구로,하차,일반,21시-22시,175813
7,남구로,하차,우대권,21시-22시,13430
7,철산,승차,일반,21시-22시,187928
7,철산,승차,우대권,21시-22시,16817
7,철산,하차,일반,21시-22시,344648
7,철산,하차,우대권,21시-22시,23264
2,을지로입구,승차,일반,22시-23시,440841
2,을지로입구,승차,우대권,22시-23시,20266
2,을지로입구,하차,일반,22시-23시,94643
2,을지로입구,하차,우대권,22시-23시,2342
2,구로디지털단지,승차,일반,22시-23시,441798
2,구로디지털단지,승차,우대권,22시-23시,19852
2,구로디지털단지,하차,일반,22시-23시,797117
2,구로디지털단지,하차,우대권,22시-23시,26542
3,압구정,승차,일반,22시-23시,366112
